IP Address,MAC Address,Vendor,Status,Last Seen
192.168.1.65,CC:6A:10:2E:81:B1,The Chamberlain Group,NEW,2026-05-21T20:19:37.528381
192.168.1.66,44:61:32:38:51:28,ecobee,KNOWN,2026-05-21T20:19:37.528449
192.168.1.67,B8:3A:9D:44:C8:F2,Alarm.com,KNOWN,2026-05-21T20:19:37.528466
192.168.1.68,D4:9C:DD:3C:15:92,Ampak Technology,KNOWN,2026-05-21T20:19:37.528479
192.168.1.72,B8:3A:9D:16:F2:6F,Alarm.com,KNOWN,2026-05-21T20:19:37.528490
192.168.1.73,B8:3A:9D:18:B0:9A,Alarm.com,KNOWN,2026-05-21T20:19:37.528509
192.168.1.74,D8:12:65:D8:7C:5B,Chongqing Fugui Electronics,KNOWN,2026-05-21T20:19:37.528519
192.168.1.86,70:70:AA:D7:E4:8E,Amazon Technologies,KNOWN,2026-05-21T20:19:37.528531
192.168.1.87,08:6A:E5:03:69:9B,Amazon Technologies,KNOWN,2026-05-21T20:19:37.528541
192.168.1.88,80:0C:F9:A4:A7:F9,Amazon Technologies,KNOWN,2026-05-21T20:19:37.528551
192.168.1.90,24:FC:E5:9A:8C:24,Samsung Electronics,KNOWN,2026-05-21T20:19:37.528561
192.168.1.116,C0:95:CF:59:FC:40,Unknown,KNOWN,2026-05-21T20:19:37.528570
192.168.1.136,CC:D2:81:6A:80:BE,Apple,KNOWN,2026-05-21T20:19:37.528580
192.168.1.140,EC:B5:FA:A0:F3:06,Philips Lighting BV,KNOWN,2026-05-21T20:19:37.528595
192.168.1.145,CC:D2:81:6A:80:BE,Apple,KNOWN,2026-05-21T20:19:37.528606
192.168.1.153,CC:D2:81:6A:80:BE,Apple,KNOWN,2026-05-21T20:19:37.528616
192.168.1.161,58:E4:88:89:B4:88,Amazon Technologies,KNOWN,2026-05-21T20:19:37.528626
192.168.1.168,B8:B7:F1:F5:79:07,Wistron Neweb,KNOWN,2026-05-21T20:19:37.528637
192.168.1.187,3C:31:78:98:B4:FF,Qolsys,KNOWN,2026-05-21T20:19:37.528647
192.168.1.231,94:BD:BE:29:44:4B,TPV Display Technology (Xiamen,KNOWN,2026-05-21T20:19:37.528657
192.168.1.234,D8:E7:43:20:71:C3,Wush,KNOWN,2026-05-21T20:19:37.528667
192.168.1.249,F0:2F:9E:EF:A4:C6,Amazon Technologies,KNOWN,2026-05-21T20:19:37.528676
192.168.1.252,A0:92:08:E9:69:89,Tuya Smart,KNOWN,2026-05-21T20:19:37.528686
192.168.1.254,6C:4B:B4:90:BD:01,Humax,KNOWN,2026-05-21T20:19:37.528695
192.168.1.129,,,NO MAC,2026-05-21T20:19:37.528705
192.168.1.253,,,NO MAC,2026-05-21T20:19:37.528714
